Date,Open,High,Low,Close,Volume,Adj Close
1999-08-10,7051.33,7269.60,7030.26,7269.60,000,7269.60
1999-08-09,7077.62,7110.82,7017.86,7028.01,000,7028.01
1999-08-06,6988.51,7031.80,6817.58,6823.52,000,6823.52
1999-08-05,7038.54,7078.58,6941.65,6959.73,000,6959.73
1999-08-04,7196.68,7274.66,7105.91,7110.80,000,7110.80
1999-08-03,7114.65,7191.96,6968.54,7175.19,000,7175.19
1999-08-02,7340.88,7355.15,7176.54,7195.94,000,7195.94
1999-07-30,7169.35,7420.84,7150.04,7413.11,000,7413.11
1999-07-29,7513.08,7513.08,7343.58,7359.37,000,7359.37
1999-07-28,7485.25,7533.87,7433.53,7484.50,000,7484.50
1999-07-27,7510.11,7538.53,7329.74,7367.97,000,7367.97
1999-07-26,7702.08,7730.60,7590.05,7595.71,000,7595.71
1999-07-23,7634.82,7735.52,7619.41,7724.52,000,7724.52
1999-07-22,7743.42,7798.94,7671.64,7678.67,000,7678.67
1999-07-21,7663.69,7830.76,7640.32,7786.65,000,7786.65
1999-07-20,7543.61,7826.49,7543.61,7806.85,000,7806.85
1999-07-19,7364.88,7455.22,7192.99,7386.89,000,7386.89
1999-07-16,7987.26,8024.19,7402.53,7411.58,000,7411.58
1999-07-15,7868.47,7964.99,7737.38,7918.04,000,7918.04
1999-07-14,8162.72,8249.16,7792.54,7888.66,000,7888.66
1999-07-13,8441.14,8441.14,8194.97,8204.50,000,8204.50
1999-07-12,8582.89,8592.05,8455.14,8463.90,000,8463.90
1999-07-09,8624.38,8663.06,8538.82,8550.27,000,8550.27
1999-07-08,8533.87,8610.90,8525.43,8592.43,000,8592.43
1999-07-07,8464.75,8500.61,8390.99,8470.07,000,8470.07
1999-07-06,8631.25,8663.92,8446.19,8454.49,000,8454.49
1999-07-05,8588.15,8668.15,8535.03,8593.35,000,8593.35
1999-07-02,8508.79,8642.62,8508.79,8572.09,000,8572.09
1999-06-30,8576.78,8576.78,8444.59,8467.37,000,8467.37
1999-06-29,8428.84,8514.27,8407.95,8514.27,000,8514.27
1999-06-28,8281.70,8341.85,8240.35,8281.45,000,8281.45
1999-06-25,8469.12,8497.60,8251.65,8265.96,000,8265.96
1999-06-24,8497.90,8627.88,8433.74,8589.31,000,8589.31
1999-06-23,8607.54,8661.39,8486.97,8492.32,000,8492.32
1999-06-22,8482.38,8640.11,8446.00,8608.91,000,8608.91
1999-06-21,8361.05,8483.95,8308.43,8413.48,000,8413.48
1999-06-17,8155.44,8290.25,8155.44,8274.36,000,8274.36
1999-06-16,7994.33,8059.02,7924.41,8059.02,000,8059.02
1999-06-15,8091.81,8109.28,7940.90,7960.00,000,7960.00
1999-06-14,8023.71,8039.64,7926.53,7973.58,000,7973.58
1999-06-11,8008.96,8028.39,7937.77,7979.40,000,7979.40
1999-06-10,7993.61,8058.18,7985.48,7996.76,000,7996.76
1999-06-09,7928.24,7980.11,7900.89,7957.71,000,7957.71
1999-06-08,7900.93,7940.38,7858.61,7892.13,000,7892.13
1999-06-07,7708.38,7818.09,7688.84,7802.69,000,7802.69
1999-06-04,7613.15,7628.14,7576.98,7590.44,000,7590.44
1999-06-03,7552.36,7604.51,7552.36,7572.91,000,7572.91
1999-06-02,7429.66,7493.68,7429.66,7488.03,000,7488.03
1999-06-01,7333.69,7397.62,7313.12,7397.62,000,7397.62
1999-05-31,7449.10,7449.10,7304.44,7316.57,000,7316.57
1999-05-28,7463.29,7465.80,7377.06,7387.37,000,7387.37
1999-05-27,7498.94,7510.42,7440.72,7469.01,000,7469.01
1999-05-26,7348.88,7460.87,7348.88,7426.63,000,7426.63
1999-05-25,7544.31,7553.35,7409.66,7417.03,000,7417.03
1999-05-24,7626.71,7644.97,7538.52,7588.23,000,7588.23
1999-05-21,7646.16,7696.97,7594.76,7606.69,000,7606.69
1999-05-20,7665.66,7701.26,7603.51,7608.88,000,7608.88
1999-05-19,7583.40,7634.73,7542.78,7614.60,000,7614.60
1999-05-18,7646.59,7658.67,7484.06,7585.51,000,7585.51
1999-05-17,7646.45,7705.63,7587.76,7599.76,000,7599.76
1999-05-14,7470.19,7592.98,7470.19,7592.53,000,7592.53
1999-05-13,7458.02,7499.63,7411.14,7416.20,000,7416.20
1999-05-12,7516.13,7532.07,7423.38,7448.41,000,7448.41
1999-05-11,7530.27,7584.57,7466.15,7474.45,000,7474.45
1999-05-10,7441.28,7484.37,7399.92,7484.37,000,7484.37
1999-05-07,7538.73,7582.34,7456.99,7469.33,000,7469.33
